datetime,elapsed_sec,pressure_bar,temperature_c
1/22/19 08:30,335700,1.376,34.58
1/22/19 08:45,336600,1.376,34.532
1/22/19 09:00,337500,1.376,34.532
1/22/19 09:15,338400,1.376,34.532
1/22/19 09:30,339300,1.376,34.532
1/22/19 09:45,340200,1.376,34.532
1/22/19 10:00,341100,1.375,34.532
1/22/19 10:15,342000,1.376,34.532
1/22/19 10:30,342900,1.375,34.532
1/22/19 10:45,343800,1.376,34.532
1/22/19 11:00,344700,1.375,34.532
1/22/19 11:15,345600,1.375,34.532
1/22/19 11:30,346500,1.375,34.532
1/22/19 11:45,347400,1.375,34.532
1/22/19 12:00,348300,1.375,34.532
1/22/19 12:15,349200,1.375,34.532
1/22/19 12:30,350100,1.374,34.532
1/22/19 12:45,351000,1.374,34.532
1/22/19 13:00,351900,1.374,34.532
1/22/19 13:15,352800,1.374,34.532
1/22/19 13:30,353700,1.374,34.532
1/22/19 13:45,354600,1.374,34.532
1/22/19 14:00,355500,1.374,34.532
1/22/19 14:15,356400,1.374,34.532
1/22/19 14:30,357300,1.374,34.532
1/22/19 14:45,358200,1.374,34.532
1/22/19 15:00,359100,1.375,34.532
1/22/19 15:15,360000,1.374,34.532
1/22/19 15:30,360900,1.375,34.532
1/22/19 15:45,361800,1.374,34.532
1/22/19 16:00,362700,1.374,34.532
1/22/19 16:15,363600,1.374,34.58
1/22/19 16:30,364500,1.374,34.532
1/22/19 16:45,365400,1.375,34.532
1/22/19 17:00,366300,1.375,34.532
1/22/19 17:15,367200,1.375,34.532
1/22/19 17:30,368100,1.375,34.532
1/22/19 17:45,369000,1.375,34.532
1/22/19 18:00,369900,1.375,34.532
1/22/19 18:15,370800,1.375,34.532
1/22/19 18:30,371700,1.375,34.58
1/22/19 18:45,372600,1.375,34.532
1/22/19 19:00,373500,1.375,34.532
1/22/19 19:15,374400,1.375,34.532
1/22/19 19:30,375300,1.375,34.532
1/22/19 19:45,376200,1.375,34.532
1/22/19 20:00,377100,1.375,34.532
1/22/19 20:15,378000,1.375,34.532
1/22/19 20:30,378900,1.375,34.532
1/22/19 20:45,379800,1.375,34.532
1/22/19 21:00,380700,1.375,34.532
1/22/19 21:15,381600,1.375,34.532
1/22/19 21:30,382500,1.375,34.532
1/22/19 21:45,383400,1.375,34.532
1/22/19 22:00,384300,1.375,34.532
1/22/19 22:15,385200,1.375,34.532
1/22/19 22:30,386100,1.375,34.532
1/22/19 22:45,387000,1.375,34.58
1/22/19 23:00,387900,1.375,34.532
1/22/19 23:15,388800,1.374,34.532
1/22/19 23:30,389700,1.375,34.532
1/22/19 23:45,390600,1.374,34.532
1/23/19 00:00,391500,1.374,34.532
1/23/19 00:15,392400,1.374,34.532
1/23/19 00:30,393300,1.374,34.532
1/23/19 00:45,394200,1.374,34.532
1/23/19 01:00,395100,1.374,34.532
1/23/19 01:15,396000,1.374,34.532
1/23/19 01:30,396900,1.374,34.532
1/23/19 01:45,397800,1.374,34.532
1/23/19 02:00,398700,1.375,34.532
1/23/19 02:15,399600,1.374,34.532
1/23/19 02:30,400500,1.374,34.485
1/23/19 02:45,401400,1.375,34.532
1/23/19 03:00,402300,1.375,34.532
1/23/19 03:15,403200,1.375,34.532
1/23/19 03:30,404100,1.375,34.532
1/23/19 03:45,405000,1.375,34.532
1/23/19 04:00,405900,1.375,34.532
1/23/19 04:15,406800,1.375,34.532
1/23/19 04:30,407700,1.375,34.532
1/23/19 04:45,408600,1.376,34.532
1/23/19 05:00,409500,1.375,34.532
1/23/19 05:15,410400,1.376,34.532
1/23/19 05:30,411300,1.376,34.532
1/23/19 05:45,412200,1.376,34.532
1/23/19 06:00,413100,1.376,34.532
1/23/19 06:15,414000,1.376,34.532
1/23/19 06:30,414900,1.376,34.532
1/23/19 06:45,415800,1.376,34.532
1/23/19 07:00,416700,1.376,34.532
1/23/19 07:15,417600,1.376,34.532
1/23/19 07:30,418500,1.376,34.532
1/23/19 07:45,419400,1.376,34.532
1/23/19 08:00,420300,1.377,34.532
1/23/19 08:15,421200,1.377,34.532
1/23/19 08:30,422100,1.376,34.532
1/23/19 08:45,423000,1.377,34.532
1/23/19 09:00,423900,1.377,34.532
1/23/19 09:15,424800,1.377,34.532
1/23/19 09:30,425700,1.376,34.532
1/23/19 09:45,426600,1.377,34.58
1/23/19 10:00,427500,1.377,34.532
1/23/19 10:15,428400,1.376,34.532
1/23/19 10:30,429300,1.377,34.532
1/23/19 10:45,430200,1.377,34.532
1/23/19 11:00,431100,1.376,34.532
1/23/19 11:15,432000,1.376,34.532
1/23/19 11:30,432900,1.376,34.532
1/23/19 11:45,433800,1.376,34.532
1/23/19 12:00,434700,1.376,34.532
1/23/19 12:15,435600,1.376,34.532
1/23/19 12:30,436500,1.376,34.532
