datetime,tide_nstr
2018-04-10 02:15:00+00:00,-0.166494379
2018-04-10 02:30:00+00:00,1.6463623881923974
2018-04-10 02:45:00+00:00,3.4239474466022597
2018-04-10 03:00:00+00:00,5.136569688497713
2018-04-10 03:15:00+00:00,6.755907131447364
2018-04-10 03:30:00+00:00,8.255485448520366
2018-04-10 03:45:00+00:00,9.611125388285004
2018-04-10 04:00:00+00:00,10.801351291501536
2018-04-10 04:15:00+00:00,11.807753612893402
2018-04-10 04:30:00+00:00,12.615299185655562
2018-04-10 04:45:00+00:00,13.212583905742788
2018-04-10 05:00:00+00:00,13.592023543000266
2018-04-10 05:15:00+00:00,13.749979485850492
2018-04-10 05:30:00+00:00,13.686817373578238
2018-04-10 05:45:00+00:00,13.40689774
2018-04-10 06:00:00+00:00,12.918498990429702
2018-04-10 06:15:00+00:00,12.23367411130961
2018-04-10 06:30:00+00:00,11.368043787295242
2018-04-10 06:45:00+00:00,10.340529460796025
2018-04-10 07:00:00+00:00,9.173031009085618
2018-04-10 07:15:00+00:00,7.890054524835644
2018-04-10 07:30:00+00:00,6.518296493434569
2018-04-10 07:45:00+00:00,5.086191326795825
2018-04-10 08:00:00+00:00,3.623429758545891
2018-04-10 08:15:00+00:00,2.160456020986483
2018-04-10 08:30:00+00:00,0.727952007
2018-04-10 08:45:00+00:00,-0.643683233
2018-04-10 09:00:00+00:00,-1.924850286
2018-04-10 09:15:00+00:00,-3.08725422
2018-04-10 09:30:00+00:00,-4.10438944
2018-04-10 09:45:00+00:00,-4.951996918
2018-04-10 10:00:00+00:00,-5.608486575
2018-04-10 10:15:00+00:00,-6.055318193
2018-04-10 10:30:00+00:00,-6.277334877
2018-04-10 10:45:00+00:00,-6.263043817
2018-04-10 11:00:00+00:00,-6.004839902
2018-04-10 11:15:00+00:00,-5.499168605
2018-04-10 11:30:00+00:00,-4.746625458
2018-04-10 11:45:00+00:00,-3.751990357
2018-04-10 12:00:00+00:00,-2.524195909
2018-04-10 12:15:00+00:00,-1.076230005
2018-04-10 12:30:00+00:00,0.5750262676269692
2018-04-10 12:45:00+00:00,2.4090232720871225
2018-04-10 13:00:00+00:00,4.401827037573098
2018-04-10 13:15:00+00:00,6.526459145596538
2018-04-10 13:30:00+00:00,8.753287563988177
2018-04-10 13:45:00+00:00,11.050462920339138
2018-04-10 14:00:00+00:00,13.38439399615827
2018-04-10 14:15:00+00:00,15.720255588514553
2018-04-10 14:30:00+00:00,18.02252133817798
2018-04-10 14:45:00+00:00,20.25551367050787
2018-04-10 15:00:00+00:00,22.383962645231865
2018-04-10 15:15:00+00:00,24.37356527064329
2018-04-10 15:30:00+00:00,26.191536712446386
2018-04-10 15:45:00+00:00,27.807144822139666
2018-04-10 16:00:00+00:00,29.192219527941724
2018-04-10 16:15:00+00:00,30.32162887468125
2018-04-10 16:30:00+00:00,31.173713868317712
2018-04-10 16:45:00+00:00,31.730674774393048
2018-04-10 17:00:00+00:00,31.978902134717778
